ID,claim_ID,documentType,fileName,mediaType
26399231-cff2-462c-9579-4ef42cc4e744,26204161-9da0-427a-ac97-0b49e22fbc7f,documentType-2639923,fileName-2639923,mediaType-2639923
2639924b-3d43-4a02-9b05-03fff3ecba5c,26204161-9da0-427a-ac97-0b49e22fbc7f,documentType-2639924,fileName-2639924,mediaType-2639924
14116831-6320-4333-adab-34f364835114,26204162-ff57-4dd6-9b0b-05700987e4ad,documentType-14116831,fileName-14116831,mediaType-14116831
14116832-f84e-4c89-ae8f-f4830fb91880,26204162-ff57-4dd6-9b0b-05700987e4ad,documentType-14116832,fileName-14116832,mediaType-14116832
71481470-c73b-4ecd-9331-34f038ffdeee,26204163-b25f-4558-9914-f5605b04f982,documentType-7148147,fileName-7148147,mediaType-7148147
71481484-c209-45bc-b9c9-27201a74c3f1,26204163-b25f-4558-9914-f5605b04f982,documentType-7148148,fileName-7148148,mediaType-7148148
26408548-afca-4ca1-b274-3a9257bcb9af,26204164-2915-4818-8ca7-b49863aff903,documentType-26408548,fileName-26408548,mediaType-26408548
26408549-9242-4cf5-9bfc-fffbc0e70bcd,26204164-2915-4818-8ca7-b49863aff903,documentType-26408549,fileName-26408549,mediaType-26408549
19811928-a247-4f43-a1d6-e9d33b1a1650,26204165-272f-42b4-b254-6432791281b1,documentType-19811928,fileName-19811928,mediaType-19811928
19811929-44d4-49cb-b255-75a80cb71306,26204165-272f-42b4-b254-6432791281b1,documentType-19811929,fileName-19811929,mediaType-19811929
23984285-109e-4686-bf61-3e622c47ff2f,26204166-1fc1-49c5-b9c3-c58842d3b2f0,documentType-23984285,fileName-23984285,mediaType-23984285
23984286-f2fe-4771-8dec-622fcbcab885,26204166-1fc1-49c5-b9c3-c58842d3b2f0,documentType-23984286,fileName-23984286,mediaType-23984286
17947343-c95b-476d-80aa-fe54b33d3da0,26204167-8f9c-467f-a842-408e909d5ac7,documentType-17947343,fileName-17947343,mediaType-17947343
17947344-c6bd-460b-86b5-0219aa68b123,26204167-8f9c-467f-a842-408e909d5ac7,documentType-17947344,fileName-17947344,mediaType-17947344
84148138-3f4f-43fe-a5d7-0bdda33301cd,26204168-dd4b-4818-9580-484890025b22,documentType-8414813,fileName-8414813,mediaType-8414813
84148140-5464-43ba-b520-aa6246491886,26204168-dd4b-4818-9580-484890025b22,documentType-8414814,fileName-8414814,mediaType-8414814
14161849-2fee-4777-8929-f6d1dd24347f,26204169-43c7-4523-8b8d-3435f30e9c72,documentType-14161849,fileName-14161849,mediaType-14161849
14161850-e58b-4417-896a-61a14bce2e55,26204169-43c7-4523-8b8d-3435f30e9c72,documentType-14161850,fileName-14161850,mediaType-14161850
29880394-01b8-4253-9348-c02b941e4caf,26204170-4939-41fd-834e-c11ad3f2cff0,documentType-29880394,fileName-29880394,mediaType-29880394
29880395-2de2-4c09-b12a-e94e08b13241,26204170-4939-41fd-834e-c11ad3f2cff0,documentType-29880395,fileName-29880395,mediaType-29880395
