ID,claim_ID,recipient_ID,alertType,message,status
14000001-0001-0001-0001-000000000001,d1000003-0003-0003-0003-000000000003,e2222222-2222-2222-2222-222222222222,HighFraudRisk,High fraud risk detected; investigation required,Sent
14000002-0002-0002-0002-000000000002,d1000006-0006-0006-0006-000000000006,e2222222-2222-2222-2222-222222222222,HighFraudRisk,High fraud risk detected; investigation required,Sent
14000003-0003-0003-0003-000000000003,d1000004-0004-0004-0004-000000000004,e3333333-3333-3333-3333-333333333333,ApprovalPending,Claim waiting for approval,Sent
14000004-0004-0004-0004-000000000004,d1000010-0010-0010-0010-000000000010,e3333333-3333-3333-3333-333333333333,ClaimStatus,Claim status requires review,Sent
14000005-0005-0005-0005-000000000005,d1000001-0001-0001-0001-000000000001,e1111111-1111-1111-1111-111111111111,ClaimStatus,Claim status requires review,Sent
14000006-0006-0006-0006-000000000006,d1000005-0005-0005-0005-000000000005,e4444444-4444-4444-4444-444444444444,ClaimStatus,Claim status requires review,Sent
14000007-0007-0007-0007-000000000007,d1000008-0008-0008-0008-000000000008,e4444444-4444-4444-4444-444444444444,PayoutSuccess,Payout processed successfully,Sent
14000008-0008-0008-0008-000000000008,d1000002-0002-0002-0002-000000000002,e2222222-2222-2222-2222-222222222222,ClaimStatus,Claim status requires review,Sent
14000009-0009-0009-0009-000000000009,d1000009-0009-0009-0009-000000000009,e1111111-1111-1111-1111-111111111111,HighFraudRisk,High fraud risk detected; investigation required,Sent
2e4ee048-8633-49fd-b767-48240845dfea,60970751-5c15-49f6-8af8-69ce19e83c18,b386c74c-ec02-4952-88c4-301bc805096a,ClaimStatus,Claim status requires review,Sent
bf97a98f-c35c-42b3-832d-2f7b516ace32,b3e239ae-95da-4947-862b-065ba29fbac1,09f0cbf3-1b49-4317-b3c0-3f3eb30355ad,ClaimStatus,Claim status requires review,Sent
d0718679-fb10-48a7-900f-20aead348435,2e523948-ab8f-43cc-8929-af95081c4472,84e4ebc5-c21b-4038-8dfe-3c247d070750,ClaimStatus,Claim status requires review,Sent
e99c5586-8034-4bb3-9034-455974a2c03d,a50715b0-5e5c-4691-8398-e9a0c3ffb0f3,5003f5af-27ee-4d85-9186-74dcc2c3f8b7,ClaimStatus,Claim status requires review,Sent
1daa6f98-696e-4c7b-9428-7d7f3bfaeb62,6d76b15a-be43-4c16-8b53-e6b8f2f03833,0364b90d-0175-4af4-80e1-796da81994a7,HighFraudRisk,High fraud risk detected; investigation required,Sent
eae9c0ea-c3e1-461a-999a-473096150ed4,18ff5c6c-7337-43c5-a2d0-2d139da79a8d,b8cc006b-e3d3-466c-aeee-17be5d978a31,HighFraudRisk,High fraud risk detected; investigation required,Sent
b2a6e49b-59e3-472b-b7fc-17644b21ab6e,4734b539-ab7a-4848-84bf-b3eea1c496a6,86afaae8-8c31-4e08-b38f-3da9242cdc24,ClaimStatus,Claim status requires review,Sent
085b1f6d-3138-42fb-8a31-85b206992d59,a10a6610-db9a-48e7-9e89-609cb6e7a525,fb27232b-1a64-490d-8c38-da55e344a90e,ClaimStatus,Claim status requires review,Sent
7f101043-6690-4bff-a100-b1d3280372cb,75955175-79b9-4b94-a333-f9824dd01ba0,701a5bc3-e297-4aed-8896-652a544bc3e2,HighFraudRisk,High fraud risk detected; investigation required,Sent
1439965a-a2b3-4719-b86b-a8588d442a81,360dcd8a-c1a8-4706-a962-7fc1e345e8bf,ed9799a3-a5e3-41af-b042-52132007da71,InvestigationRequired,Investigation required,Sent
1d18dc5d-563e-4086-96f3-182ebd37b362,ebf1b717-c863-41da-9c64-3eea3aac60a3,70a89457-00c5-4afd-8fa7-f910a65d1896,ClaimStatus,Claim status requires review,Sent
7903c6d8-dd3f-4052-968c-95176cfb24c0,78e5789c-7645-48dc-bf5a-f608ea8c480d,798c0654-0ebf-42aa-b1de-d157da7517f7,ClaimStatus,Claim status requires review,Sent
197116e3-733c-4792-a41f-ed1189ec1365,ce3af21d-729d-4078-b67e-aca6aa622bb1,51096265-47ad-4a3e-8f9a-4af9403d4215,ClaimStatus,Claim status requires review,Sent
7a2a7f8c-cab7-4ee2-a5f5-7b3ef52e8c20,f68bd80c-2a29-4449-8168-a99b185b795d,09f6f6cf-6400-4a9a-85f2-b33c829594a8,ClaimStatus,Claim status requires review,Sent
36697fcb-542e-4b0a-9c61-7f3376184c89,cbdadda3-c756-4885-84ba-b4b53c3e3c43,b96fad9e-e387-4b98-a37d-e5d3b2b73ab1,HighFraudRisk,High fraud risk detected; investigation required,Sent
738ee22b-9609-4e5c-afff-05f8e9036d38,8f5ef171-abba-44fa-b336-8402db3de23d,775fe072-78b2-4e2b-923c-ba79a8523490,HighFraudRisk,High fraud risk detected; investigation required,Sent
58826dac-5404-4112-b6ca-a29196a23f2b,ceed6957-4756-4ffc-9fbe-04d46344486b,0e801024-1bbc-4277-922d-cd2cc8b857a9,ClaimStatus,Claim status requires review,Sent
cdc77df4-3b7b-4933-9267-9af89cf0d7d2,9a5b0f6c-282e-4721-a92c-3788d0a372d2,68860ad2-a62b-4883-a9a0-de5c0c6ee5d5,ClaimStatus,Claim status requires review,Sent
4817ae22-22c3-408b-95ed-78a1a7612cee,0f150c6c-f075-4c42-8809-67499bb04b66,f2dd2915-7c8b-41c3-a8ed-33861911306b,HighFraudRisk,High fraud risk detected; investigation required,Sent
0d9d4c80-fa09-4cf8-b36e-89c828282841,e88cd4a0-aa9d-4137-b3f5-f925976882cd,7718af4d-a8ab-4675-885f-b069eafde19f,InvestigationRequired,Investigation required,Sent
d132fa13-4224-48ae-990f-555dc17bd448,26ebcff3-8670-4e0b-8ee9-796d0aa6e53c,df589304-d9cc-435a-a436-e61b98df1a66,ClaimStatus,Claim status requires review,Sent
fcfe51cb-f581-4d42-b116-36454e988109,4bcd1de6-a5b4-421c-bfbe-136ce938ce56,881cade5-e91f-41c2-8691-aa0146c330c5,ClaimStatus,Claim status requires review,Sent
b998e8e3-5daa-4e11-92b2-4d4e9c4af35c,d7644fad-a3c3-4d94-92ba-84c396fec2e5,7a7477ba-d812-4e3c-8759-a733acd16b52,ClaimStatus,Claim status requires review,Sent
642b28df-c550-4a43-8882-1e8e108585ec,2bd986d5-2123-4385-9f43-8823864bbdba,10239efc-1cd0-49fe-a4a4-62ef8d782542,ClaimStatus,Claim status requires review,Sent
7f8e4648-e9ab-4fb1-a641-0cc4a389ff09,ea663a96-b30d-4d79-aaa8-42f1e223a063,c53a4325-8fbb-41d6-a2d4-d0ff4e4bcb00,HighFraudRisk,High fraud risk detected; investigation required,Sent
